,id,Created at,Screen Name,Tweet Text,Subject,sentiment
22,1322419962842152960,Sat Oct 31 06:07:43 +0000 2020,aymanelengebawy,Trump Corruptly Uses DOJ/Barr/Whitaker in Effort to Tank Turkish Bank Ca... https://t.co/wSoG8ICEwF via @YouTube,Trump,negative
23,1322419962695327745,Sat Oct 31 06:07:43 +0000 2020,AnnaMelJenkins,"RT @funder: Happy birthday to Ivanka Trump, who belongs in prison.",Trump,positive
24,1322419962464641024,Sat Oct 31 06:07:43 +0000 2020,mawanji13,@chipfranklin Why is everyone late to the boycott party? Dude has been donating to Trump since his 1st term run. Yo… https://t.co/Yme1yx8cT1,Trump,positive
25,1322419962263134208,Sat Oct 31 06:07:43 +0000 2020,Walk20152675,"RT @LisaMarieBoothe: If Brett Favre, Jack Nicklaus, Lil Wayne, and Lil Pump all support Trump, imagine what kind of broad coalition exists…",Trump,positive
26,1322419961399300096,Sat Oct 31 06:07:42 +0000 2020,SailorPsy,RT @ParkerMolloy: The amazing thing is that many of them kept pushing it even after we all knew it didn’t work https://t.co/zk0rVIczBJ http…,Trump,positive
27,1322419961348804608,Sat Oct 31 06:07:42 +0000 2020,bigskyoung,RT @AriFleischer: “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…,Trump,positive
28,1322419961113972738,Sat Oct 31 06:07:42 +0000 2020,floofyyval,"@mochiysl not to be a shooter for chickfila or anything, but they no longer donate to homophobic organizations anym… https://t.co/PBGEZ1hlL8",Trump,negative
29,1322419960950464512,Sat Oct 31 06:07:42 +0000 2020,BigBellyBobcat,"@CTVNews Trump is in panic mode. He’ll say any bullshit to get votes.
#votebidenharris2020 #votebidenharris2020… https://t.co/yXjwHqCBkM",Trump,negative
30,1322419960413650944,Sat Oct 31 06:07:42 +0000 2020,CorbieCrow,RT @girlsreallyrule: There are too many coincidences involving Justice Kennedy's sudden retirement and his son's approval of $1 billion in…,Trump,positive
31,1322419960254222336,Sat Oct 31 06:07:42 +0000 2020,timgrecco,"RT @gabriel_zucman: The wealth of US billionaires increased by 50% under Trump

https://t.co/z6XCloUqYX",Trump,negative
32,1322419959889211392,Sat Oct 31 06:07:42 +0000 2020,pitter1311,RT @glennkirschner2: We will tackle these “Not Qualified” McConnell/Trump judges beginning in January when we begin UNpacking the courts.,Trump,positive
33,1322419959453147137,Sat Oct 31 06:07:42 +0000 2020,silviasayshello,RT @itsssjesenya: Just A Reminder! Pretty Girls Hate Trump! Please Vote If You Can! 💗✨ https://t.co/OV059DFmKt,Trump,negative
34,1322419959163572224,Sat Oct 31 06:07:42 +0000 2020,Ldreskin,RT @RudyMarquezJr: This is a prime example of the ignorance and delusion embedded within Trump supporters. Once they realized she was talki…,Trump,negative
36,1322419959033679872,Sat Oct 31 06:07:42 +0000 2020,EdanClay,"RT @maiamimi: Now for all you night owls: 

Do NOT mail your ballot. It is too late &amp; won’t arrive in time to be counted. We need every vot…",Trump,positive
37,1322419958970753024,Sat Oct 31 06:07:42 +0000 2020,fzb3346,"Is this what you all want for America?, not me, Trump 2020! https://t.co/qovURBGKoQ",Trump,negative
38,1322018652284018694,Fri Oct 30 03:33:03 +0000 2020,deemadigan,And those who defended @ScottMorrisonMP  going to Hawaii during the bushfires will no doubt have a go at… https://t.co/0wFeMVqVqU,Andrews,negative
39,1321778694235385856,Thu Oct 29 11:39:32 +0000 2020,andrewbogut,A friends family member today received a letter from a lawyer (have seen it)citing defamation for a facebook post (… https://t.co/e32mdBxFYR,Andrews,positive
40,1322089241854177281,Fri Oct 30 08:13:33 +0000 2020,andrewjgiles,"If anyone deserves a day off, it’s Dan Andrews.

Thank you, Premier for your commitment, determination and resolve… https://t.co/urdiPQPNn4",Andrews,positive
41,1322419873268428800,Sat Oct 31 06:07:21 +0000 2020,AB_Owl,"RT @EvieDaisy3: @geeksrulz How good is Dan Andrews 
#ThanksForNothingScott",Andrews,positive
42,1322419807308840961,Sat Oct 31 06:07:06 +0000 2020,NanaJMcK,RT @Hellharbour: I find it bizarre that Newscorp hounded the shit out of Dan Andrews for his handling of Covid yet endorses Frump who is cr…,Andrews,positive
43,1322419776040304643,Sat Oct 31 06:06:58 +0000 2020,JeffreyKrupa,Dan Andrews and his incompetent Victorian Labor Government did this to the people of NSW. Never forget. https://t.co/nrS9DhLPP6,Andrews,positive
44,1322419498134069249,Sat Oct 31 06:05:52 +0000 2020,AB_Owl,RT @geeksrulz: Rumour that Dan Andrews been asked to join an emergency zoom meeting with World Leaders on how to combat the second wave. No…,Andrews,positive
46,1322418962638929921,Sat Oct 31 06:03:44 +0000 2020,balmycook,"@OzraeliAvi Come to the country mate, gyms are open and life is awesome! Fuck Melbourne and fuck Dan Andrews!,",Andrews,positive
47,1322418952379781122,Sat Oct 31 06:03:42 +0000 2020,kingremi_4ever,"RT @HyliaGames: 10 new cases in Australia today
100,000 new cases in USA today

Thanks Dan Andrews for being strict on lockdowns and helpin…",Andrews,positive
48,1322418863435214849,Sat Oct 31 06:03:21 +0000 2020,TrishCharter,Blowed if I know - I was only referring to that very tight blue jacket Dan Andrews was wearing when I last saw him.… https://t.co/PgO6UIOegs,Andrews,negative
49,1322418767071240193,Sat Oct 31 06:02:58 +0000 2020,LesleyE02634258,"RT @kathryntherese2: @abcnews I find it interesting that media have moved on from Aged care neglect and lack of covid plan 
Moved on from R…",Andrews,positive
50,1322418477290852353,Sat Oct 31 06:01:48 +0000 2020,PKermeci,RT @For_Australia_: Dan Andrews Takes A Day Off - Almost https://t.co/EQb6ShYirS,Andrews,positive
51,1322418376925278208,Sat Oct 31 06:01:25 +0000 2020,john88354238,"@vaxwell @theage @DanielAndrewsMP Dan Andrews was the health minister before he was premier, correct? that’s why Vi… https://t.co/gCrifXv3OJ",Andrews,negative
54,1322418298948968449,Sat Oct 31 06:01:06 +0000 2020,PKermeci,"RT @For_Australia_: Remember, my fellow Australians: Dan Andrews is looking to bail out Victoria through deals with the Communist Party of…",Andrews,positive
58,1322417728783745025,Sat Oct 31 05:58:50 +0000 2020,SophieSocialist,RT @smoffymoth: @abcnews Dan Andrews never played politics. He worked for all Australians unlike Morriscum and our Federal government.,Andrews,positive
59,1322417654766866432,Sat Oct 31 05:58:32 +0000 2020,Eve5810,RT @bradpsychology: Was Victoria’s one Covid case a false positive?  But I didn’t get a donut.  This is the worst.  Dan Andrews how could y…,Andrews,negative
61,1322416899091701762,Sat Oct 31 05:55:32 +0000 2020,loz43323229,RT @sabhlok: Everything that Dan Andrews has done at the point of a gun could have been done voluntarily. That was the only civilised optio…,Andrews,negative
62,1322416892615696384,Sat Oct 31 05:55:31 +0000 2020,For_Australia_,"Remember, my fellow Australians: Dan Andrews is looking to bail out Victoria through deals with the Communist Party… https://t.co/V4nFnTeOOF",Andrews,negative
64,1322416716287078400,Sat Oct 31 05:54:49 +0000 2020,tahinibean,"#DanLiedPeopleDied
#MakeDanPay Hundreds of people will never see their loved ones again because of Andrews . If thi… https://t.co/31bJTcOaw3",Andrews,positive
65,1322416675329699840,Sat Oct 31 05:54:39 +0000 2020,edie02303038,@ScallywagRay Nothing ordinary about Dan Andrews :),Andrews,negative
66,1322416632287776769,Sat Oct 31 05:54:29 +0000 2020,heardboutpluto,RT @heathermarielit: @heardboutpluto @PRGuy17 @slow_hula This is in my head now..... Andrews.....Andrews.....Andrews....erm my best friend'…,Andrews,positive
67,1322416519037378567,Sat Oct 31 05:54:02 +0000 2020,verucaxsalty,RT @_cocainecharlie: If I was dan andrews I would simply ban the Melbourne cup and make Halloween a public holiday,Andrews,negative
68,1322416341014376448,Sat Oct 31 05:53:19 +0000 2020,southyarradan,Seriously someone needs to remind @Jeff Kennett it was #Dan Andrews that initiated the inquiry into hotel quarantin… https://t.co/8evNlnOMSN,Andrews,negative
69,1322415766105284608,Sat Oct 31 05:51:02 +0000 2020,Bad_cyclist,"@Frank__Davies What does that say about Albos leadership? No ‘but MSM’ bulls^t excuses.
Dan Andrews showed how easy… https://t.co/xFaj5dxIyD",Andrews,positive
73,1322414767760265217,Sat Oct 31 05:47:04 +0000 2020,benny55au,"RT @Tim_jbo: Irony in Andrews surviving the Dandemic
https://t.co/qgNcEL3swN
Senior Liberals are worried that #DanielAndrews can now fight…",Andrews,negative
74,1322414710558392321,Sat Oct 31 05:46:50 +0000 2020,RoseGWhite,"RT @Jennife80861585: Jeff Kennett was about cut ,cut ,cut and sell ,sell ,wasn't he ,The reason he criticizes Dan Andrews ,is because he bu…",Andrews,negative
75,1322414658930704384,Sat Oct 31 05:46:38 +0000 2020,insta_ginge_,@GayleRobMurphy Go away nuffie I like Dan Andrews,Andrews,negative
76,1322414625070067714,Sat Oct 31 05:46:30 +0000 2020,NickTrebla,RT @Rordan508: Peta Credlin must be pissed off Dan Andrews has come out on top after all that pitching-in she did for fellow Australians in…,Andrews,positive
