review,sentiment
"Ridiculous. This movie is actually a vehicle for the Ramtha School of Enlightenment. If you are wondering who the *bleep* Ramtha is: ""Ramtha is a 35,000 year-old spirit-warrior who appeared in J.Z. Knight's kitchen in Tacoma, Washington in 1977. Knight claims that she is Ramtha's channel. She also owns the copyright to Ramtha and conducts sessions in which she pretends to go into a trance and speaks Hollywood's version of Elizabethan English in a guttural, husky voice. She has thousands of followers and has made millions of dollars performing as Ramtha at seminars ($1,000 a crack) and at her Ramtha School of Enlightenment, and from the sales of tapes, books, and accessories (Clark and Gallo 1993). She must have hypnotic powers. Searching for self-fulfillment, otherwise normal people obey her command to spend hours blindfolded in a cold, muddy, doorless maze."" John Wheeler, one of America's finest theoretical physicists, would roll his eyes about this movie. He has in the recent past criticized parapsychologists for their misuse and misinterpretations of quantum theory. This movie does the same thing as those fools.<br /><br />There is a great review of this movie at Skeptico. I recommend anyone considering watching this movie read it first before contributing to a cult's coffers.<br /><br />http://skeptico.blogs.com/skeptico/2005/04/what_the_bleep_.html I noticed one reviewer here at IMDb say to take this movie with a grain of salt. It will take enough salt to kill a horse to wade through the garbage-thinking of this movie.",negative
"There are worse ways to spend an evening than watching this movie, although it IS a tad predictable. Drew Barrymore does a very good job of being the outcast nerd in this film - excellent casting choice. What I found a bit hard to believe is that the popular girls finally accept her - in my experience that crowd has a longer memory than that, and knowing how AWFUL Drew's character was (ostrich feathers?) at the start of the school year would have kept them miles away, regardless of what rumors her brother drums up. (And does ""Kole Slaw Food"" really make HIM all that popular? I doubt it). As for rooting for Drew's character to win big as a reporter - well, I would have hoped she could have come up with a story long before the prom. A bit contrived. Having said all that, it was a cutsie piece of fluff that will be entertaining as long as you don't expect too much.",positive
"The opening scene makes you feel like you're watching a high school play. But I've seen high school plays with better acting! Every line was delivered so obviously that I felt like I was watching actors work instead of seeing characters. I found the character development to be poor and the acting very forced! I found that 25 minutes into the movie, I really didn't care what happened anymore because the plot was overly obvious and I was bored. I kept hanging in there, waiting for the film to redeem itself, but it never happened. Sister Theresa was overly sweet, even for a nun, yet appeared impulsive and slightly manipulative. All in all, I was mighty disappointed.",negative
"I did and I lost two and a half hours of my life that I can never regain again.<br /><br />I honestly have no idea what the critics and fans see in this movie. And that's not because I can't appreciate ""art"". I love a good film with profound messages, brilliant cinematography, and great directing.<br /><br />This film just isn't one of them.<br /><br />My main complaint about this film is that it's so horribly slow-paced, to the point of boring its audience to death. On the other hand, sequences of dialog go by too quickly and there's not enough exposition to let people who haven't read the book know what's going on (My mother had mercy on me and explained everything before I watched it). Would it have killed them to hire a narrator? At least for the beginning and the end? <br /><br />Let me break it down for you: (Spoilers throughout) <br /><br />For the first two minutes you are treated to a black screen with no music, waiting for the actual movie to begin.<br /><br />For the following minute and a half, you see several pictures of sunrises and savanna landscapes. Like the audience couldn't figure out how to set the scene unless they saw the establishing shot three or four times.<br /><br />The next eleven minutes are occupied with the grunting monkeys. They fight, see the monolith, fight some more, pommel things with a bone. Supposedly they are prehistoric men whose evolution is being influenced by the monolith's singing. Not that you could tell if you hadn't read the book.<br /><br />*Finally* we get into space. Only to be subjected to twelve minutes of ships slowly spinning to the Blue Danube Waltz (A pretty quick-tempo-ed waltz as I understand, yet here it feels absolutely agonizing). At last we get some innocuous dialog and rather cryptic exposition about the government not letting people land on the moon. We are left to wonder about this for fourteen more minutes of Blue Danube and spinning ships and neat camera tricks with anti-gravity.<br /><br />Next comes four minutes of watching a ship travel over the surface of the moon and dock at a space station. We get a little more exposition in a board room scene that follows. Then we're back outside traveling at a snail's pace over the moon. A second monolith is revealed, again filling our ears with that horrible ringing (I had no idea that was an actual piece of music!). The monolith does its little light show and then the plot jumps forward.<br /><br />*Seven* minutes of watching the ship to Jupiter travel. By this point in time my brains had turned into mush. Could it be moving any slower? Maybe it's ""realistic"" to portray it as such, but we still don't need to see five or six different shots of the same thing to grasp the concept of its ""realism"". Let me tell you about this ""realism"" thing; I cheered when the secondary astronaut character died. Not because I'm a sadist and like watching people die, but because after five minutes I was just so annoyed at the sound of his darn breathing! I'm supposed to care about this character, feel when he dies! Instead I found myself waiting for blissful silence whatever way it came.<br /><br />Anyway, now we get to the most interesting part of the film-the part with HAL. Forget Dave the stick-of-wood protagonist. The real star of the show is that coldly impersonal, chillingly villainous, ruthlessly merciless bad guy of a computer. He's great. And the ""Open the pod bay doors"" sequence is wonderful. But it's too short. And it's not long before the director once again lapses into too-long goings on.<br /><br />Four minutes for HAL to die. And die he does. Slowly, painfully, losing intelligence with every minute, voice getting lower and slower, singing ""Daisy, Daisy"", all with a low and constant hissing that becomes just as annoying as the heavy breathing.<br /><br />Seven minutes of flying colors as Dave enters the monolith. Seven. I could FEEL my brains melting and dripping out of my ears! Seven full minutes of absolutely nothing but some guy's whacked out psychedelic version of space travel, again with that thrice-cursed chorus! We got the idea at the beginning of the sequence! Why drag it out so long? Unless he wanted to make LSD users go psychotic and have flashbacks.<br /><br />I'm not even going to try to explain the ending, mostly because I don't quite get it myself. Supposedly he's in an alien research laboratory and they're teaching him deep and profound things while he watches himself getting older and older and then they send him back to earth as some kind of cosmic celestial space baby. None of this comes across in the film. For all you know, it's just a sequence of images with no purpose or plot whatsoever. A lot of the movie felt that way.<br /><br />The first time I tried watching this movie I gave up halfway through. The second time I suffered through this sore excuse for a film, it was to help my sister time the sequences to see how long they lasted. It's that boring.<br /><br />Call this crummy film ""art"" if you wish. I wouldn't. I've seen more interesting ""art"" in the local museum. And I am never subjecting myself to this kind of suffering ever again.",negative
"Now let me tell you about this movie, this movie is MY FAVORITE MOVIE!!! This movie has excellent combat fighting. This movie does sound like a silly story line about how Jet Li plays a super hero, like Spider-Man, or etc. But once you've seen this movie, you would probably want to see it again and again. I rate this movie 10/10.",positive
"Flat out the funniest spoof of pretentious art house films ever made.<br /><br />This flick exposes all the clichés, and then some! Excruciatingly bad (Downs-Syndrome!) actors. Terribly heavy self important dialog. Scenes that are supposed to shock but fall flat. Jarring editing. Pointless plot points. All wrapped up in a kind of smirky miasma of disrespect for the audience and vague psych-drivel.<br /><br />It achieves exactly what it was designed to. A hilarious satire of those tedious movies made by spoiled teenage trust-funders, to show to their parents when they ask them what they've been doing for the last two years! After ""What Is It?"" received its Cannes award, presenter Werner Herzog was rumored to have been told that the film was in fact a spoof, in part of his own films! He supposedly blew up at the info. To this day he refuses to discuss the incident.<br /><br />Anyway, see it and laugh, this will be a classic of humor for many years to come.",positive
"Steven Speilberg's adaptation of Alice Walkers popular novel is not without its share of controversy. When first released members of the black community criticised its treatment of black men, while others questioned why a white man was directing this film about black women.<br /><br />This is the story of a young black woman named Celie, growing up in rural America after the turn of the century. She has two children by her abusive father which are snatched from her arms at birth. Her only solace in her miserable life comes from her sister.<br /><br />Celie (played in later years by newcomer Whoopie Goldberg) is married off to an abusive husband (Danny Glover). The husband is humiliated by the sister and so she is quickly removed from Celie's life.<br /><br />The story is often heartbreaking as Celie keeps up hope that she may one day be reunited with her sister and with her children. Throughout her life she meets an assortment of characters, including Sophia, a tough as nails wife to her step son, and Shug, a loud and luscious saloon singer, who teaches her a thing or two about love.<br /><br />Speilberg's direction is all over this picture, which offers brilliant cinematography and some stellar performances. I dare you to watch this film and not be moved! The film The Color Purple manages to capture the essence of what is a complicated story. While it tends to minimise the lesbian aspects as well as the African story, both of which were so vivid in the book, the movie remains true to its themes, allowing the voice of Alice Walker to shine through.<br /><br />I couldn't begin to respond to the controversy that surrounded this film. Suffice it to say, however, this is one of the few films that I can watch again and again, and which has left an indelible mark on me.<br /><br />",positive
"Growing up in a multi racial neighborhood back in the 20's and 30's, I grew up very close to most of the Italian families living there. This move brought back so many pleasant memories. this is a movie most people would like who enjoy seeing more true to life movies.",positive
"Now I've always been a fan of Full Moon's puppet work. But I have to say that Robot Jox is one of there better projects. Yes, you heard me. The story works wonderful, the atmosphere really works and the actors do a first rate job. Gary Graham who really makes his mark on TV in shows like ALIEN NATION THE SERIES and STAR TREK ENTERPRISE shows that he can be an action star who kicks ass and takes name. The stop motion effects could have been a tiny bit better. The color was wrong, they look plastic to me instead of the metal they were suppose to be. But that is a minor complaint compared to the whole that is the Robot Jox, if you like Gary Graham or other Full Moon movies, then you will like this movie. 9 STARS OUT OF 10.",positive
"Gruveyman2 (comment below)you are a complete idiot...blinded by ignorance by the very city you have allegiance to. Its that whiny arrogance, that you are ironically claiming the film exudes about SF, that makes you seem like such the typical LA A**hole! The only reason you felt the film was so self congratulatory about SF is because you are jealous. Of course you don't know it because you are so LA jaded. First of all the film was completely factual about a beautiful city; what has been filmed there and what has been filmed by some of its more famous locals. It says nothing bad about LA; and these accomplished directors choose to live in a beautiful city over LA. They recognize that they went to film school in LA and are obviously proud of that fact. They recognize that SF is close to LA which is a benefit. The only negative thing that was said that relates to LA, was about the studio executives. The same studio executives that hated these guys movies when they first saw them, but then those same movies went on to be huge world-wide grossing films. So why wouldn't they have animosity towards the studio executive establishment and studio system? These are the only people they are trying to ""disassociate from"" and for good reasons! Don't be so sensitive! How can you say that Francis Ford Coppola is the ""so called"" San Francisco director? How is he not to be considered that? And who directed The Godfather? Coppola did. It was his vision that told the story on the screen that won it a best picture award. So what who gave him the job? He admits it in the documentary that he didn't even want to do the movie....so what's your point? And so what if Sophia wants to live in LA? And that proves your point how? And tell me how they are not truly independent when they are funding a lot of their own movies. Movies that are now considered classics. And, when they made movies from studio funding, one, it was LA that came to them and said we want you to make these pictures and two, they used the money that they made from doing these pictures to fund their own. They said exactly that in the film.<br /><br />""Your bitchy and self congratulatory whining would take on an air of greater self respect and credence if you never set foot on the ground you so claim to be superior to in this film.""<br /><br />How the hell can ""bitchy-ness"" and ""self-congratulation"" suddenly have an ""air"" of self respect and credence....if they never go to LA again? What a stupid and senseless comment! You inserted some big words in there....and just don't know how to use them! And, by the way, they never claimed nor implied they were superior to LA! So what if they are giving a guy from New York an award in LA....again what the hell is your point? So if they go to LA or New York they are hypocrites by simply preferring to live in SF? You make no sense.<br /><br />San Francisco is proud of itself and its heritage and the people who make it what it is today. This film just focused on one aspect...film-making. For you to take the time and type up such nasty comments about the city (not the movie! But the city and its people) only proves what it is we Northern Californians hate about people from LA! THIS IS A GREAT DOCUMENTARY...VERY INTERESTING, ESPECIALLY IF YOU ARE FROM THE BAY AREA...BUT I RECOMMEND IT TO ANYONE.",positive
"This is probably one of the best Portuguese movies I ever saw... I absolutely enjoyed the plot, because by the way the story was developing, you would get more involved on how their world was really upside-down... There is just only one part that doesn't really seem to fit in the movie, which is the girls' strip... It does not add anything important to the story, it looks like it's just there for a men entertaining purpose. The ending is a bit unexpected, though, at the same time, somewhat expected. If you don't understand, then follow me: after so many strange occurrences, the viewer is so used to oddities, that ending the movie with totally unexpected relationships (Like Mimoso and Susana) sounds totally natural after seeing the rest of the movie. But, most of all, Sorte Nula is a movie that makes you think hard trying to solve the mysterious occourings, laugh your head off with their unlucky lives and mess with your perception of what can happen in just a few minutes, when you turn your back away from something... for all that, I rate it 8/10",positive
"I've heard nothing but great things about the 2006 television mini-series, ""Planet Earth,"" narrated by my childhood idol David Attenborough. Nevertheless, whether it was screened down here in Australia or not, I never caught up with it, and when I happened upon the opportunity to see 'Earth (2007)'  a feature-length compilation of the same nature footage  on the big screen, I jumped at the chance. The theatre was basically empty; just one other patron sat in the row ahead of me, and it was as though I had, not only the big screen to myself, but, indeed, the entire planet Earth. For 90 minutes, I was lowered into the beauty and perils of the isolated wilderness, amongst some of the most beautiful living creatures ever captured on film. Awesome in its scope, and yet painfully intimate at times, 'Earth' is a heartfelt plea from the filmmakers to recognise the delicate balance of life on our planet, and how the intrusion of humans has placed countless glorious animal and plant species on the brink of extinction.<br /><br />Though the film, directed by Alastair Fothergill and Mark Linfield, obviously argues for the conservation of the wilderness, it refrains from beating us over the head with propaganda, and the puzzle that is politics is ignored altogether; indeed, there is not a human in sight. Instead, we are simply taken on a breathtaking journey into the majesty of the natural world, to experience the resilience, and also the fragility, of life on Earth. I hear that the original mini-series, which ran for eleven episodes, delves a lot deeper into the scientific background of world ecosystems, but I think that, here, the filmmakers made a wise decision to replace information with emotional impact: I can't remember the last time that I felt so inspired, and yet utterly heartbroken at the same time. By establishing an emotional link between the audience and a select few individual animals, anthropomorphising them to an extent, we are suddenly able to appreciate the ""human side"" of each species, and their hopeless plight for survival becomes less a statistic and more an unacceptable tragedy.<br /><br />'Earth' is basically comprised of a selection of dramatic episodes, whether it be the struggles of a female polar bear to lead her young cubs to the Arctic ice, or the tramp of an elephant herd towards the life-saving seasonal floodwaters of the Okavango Delta. The documentary demonstrates the delicate balance between life and death, most heartbreakingly exhibited in the desperate ballet of predator-prey interactions. Though occasionally, perhaps to cater towards a younger audience, the footage cuts itself short at the crucial moment, I regularly shed at tear at the inevitability of death in nature, and the raw instinct that fuels these animals' final, hopeless efforts at survival. There's even a haunting beauty to be found in the hunt, both in the slow-motion footage of a cheetah bringing down its prey {the result of a single fateful misstep}, or the majestic mid-air leap of a Great White Shark as it engulfs a hapless sea lion. It is this frail balance that has been fatally disrupted by the selfishness of our own species.<br /><br />Aside from these main stories, we are also treated to brief snippets of wildlife from around the world, including the birds of paradise of Papua New Guinea, and the autumn migration of the demoiselle cranes. Of course, entire films might have been dedicated to these species alone, and an inevitable consequence of having to sift through so much footage is that some interesting ecosystems are glossed over far took quickly. By choosing to focus most closely on the polar bear, elephant and humpback whale  tracing their lifestyles, via some astonishing high-definition time-lapse photography, throughout a calender year  the filmmakers were able to avoid any structural problems that might arise from having so much to show, and only 90 minutes to show it. Consequently, 'Earth' left me thirsting for more, and, fortunately, I now have approximately eleven hours more, as soon as I can track down a copy of the DVD box-set for ""Planet Earth."" Uplifting and tear-jerking, awe-inspiring and heartrending, 'Earth' is a truly magnificent documentary experience, and it might just be my favourite film of 2007.",positive
"Lorenzo Lamas stars as Jack `Solider` Kelly an ex-vietnam vet and a renegade cop who goes on a search and destroy mission to save his sister from backwoods rednecks. Atrocious movie is so cheaply made and so bad that Ron Palillo is third billed, and yet has 3 minutes of screen time, and even those aren't any good. Overall a terrible movie, but the scenes with Lorenzo Lamas and Josie Bell hanging from a tree bagged and gagged are worth a few (unintentional) laughs. Followed by an improved sequel.",negative
"The Joe Cool Review - Hellraiser: Bloodline<br /><br />Starring: Bruce Ramsay as Phillip L'Merchant/John Merchant/Dr. Paul Merchant, Valentina Vargas as Angelique and Doug Bradley as Pinhead<br /><br />Plot: This follows a timeline of the lineage of the Merchant bloodline, which started with Phillip L'Merchant, who created the box that opens the doorway to Hell. Starting with the 18th century to present time when Pinhead first meets Merchant and tries to sever the bloodline..(he's the only one who can stop Pinhead, you see) and finally in the future, in space, where Paul Merchant has finally figured out how to send Pinhead to hell for good.<br /><br />Openers: This is a movie hated so much by the people who made it, they declared fictional director Alan Smithee would be the credited director. They only pull Smithee out of the woodwork when they really think they've made a terrible movie, such as classics as The Birds II: Land's End or Bloodsucking Pharaohs in Pittsburgh. No I didn't make that up. How did I like it? You're reading this so I'm sure that's what you want to know.<br /><br />The Good: This movie isn't as bad as you've been led to believe. Oh I'm not going to sugar-coat it. This movie was filled with so much potential and ended up being a disaster, but it does have some positives. Cooler cenobites this time around for starters, such as the twins and the demon Angelique. Pinhead is still in a main role, and still has good lines(""Pain has a face, allow me to show it to you"") and it's somewhat entertaining throughout. Gorehounds will love the movie because of it's endless supply. There is also some continuity with the rest of the series, although you'll have to look hard to see it. The Chatterer Dog is awesome.<br /><br />The Bad: But for a story about Hell vs the cursed Merchant bloodline that could close the gateway forever, it was really complicated and held together with duct tape. Nothing was really explored to it's full potential and there were some really stupid things included. Pinhead kidnaps a kid and holds him for ransom! Random deaths just to feature more blood(not always a bad thing, but not for the sake of the story). Pinhead is at his worst here, he rants and rants and rants even when he's about to die! For the very smart demon that he used to be, he's been reduced to nothing more than a Bond villain, at best. If Hellraiser fans ever needed a reason why he was moved back into a cameo like role, this is it. Bloodline ruined it for us all.<br /><br />The Ugly: Gore is always mentioned here. This one has skin ripping, drilling, hook impaling, beheadings, and more goodies. The Chatterer Dog, while awesome, reeks of bad special effects during the chase scenes.<br /><br />Final Verdict: This movie had the potential for something great, even Hellbound levels of greatness. But all of that was wasted. Who knows exactly what went down to produce this crap, but we can only blame Alan Smithee.<br /><br />Compared to the rest: This movie is the worst of the Hellraiser series. For completists only.<br /><br />Rating: 1/2* of *****",negative
"Just watched this on DVD three times - Once the 'normal' way, once with the scenes in consecutive order (in this doozy of a film noir, the beginning, middle and end of the story intertwine), and once with the director's commentary running. Quite amazing. A bare-bones tale, told with more flair, energy and substance than most big-budget overblown features being released today. <br /><br />I think this is an even more accomplished film than the subsequent Memento, which turned me on to Nolan in the first place. Can't wait to see what he does with a bigger budget (and bigger box-office stars) in his next film, Insomnia.",positive
