,keyword,sentiment,tweet_id,tweet_text
179,apple,positive,125309946723188736,Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!
181,apple,positive,125279987254300672,The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple
184,apple,positive,125256305647693825,#iOs5 is nice and as it had to be ! Thanks @Apple
185,apple,positive,125252188065902592,Good support fm Kevin @apple #Bellevue store 4 biz customers TY!
189,apple,positive,125238017299451905,@Apple: Siri is amazing!!! I'm in love!
190,apple,positive,125165176772247552,Love love love iOS 5!! @apple
191,apple,negative,126418790706712576,RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...
192,apple,negative,126417285559762944,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
193,apple,negative,126416915664084992,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
195,apple,negative,126411162622496768,@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5
196,apple,negative,126410591949697024,@apple needs to hurry up and release #iTunesMatch
197,apple,negative,126409696553861121,Why is  #Siri always down @apple
198,apple,negative,126408864387182593,I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple
199,apple,negative,126408052525105153,"@apple AirDrop #fail - Immediate ""declined your request."" every time"
202,apple,negative,126405185630253056,Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s
203,apple,negative,126405040809312256,The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss
204,apple,negative,126400637930979329,Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple
207,apple,negative,126393204550537216,FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.
208,apple,negative,126392402083708928,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please."
213,apple,negative,126385036441296896,"shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild."
214,apple,negative,126382959711358976,. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!
215,apple,negative,126382051661328385,Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance
216,apple,negative,126381519513194497,Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity
217,apple,negative,126380588822298625,"I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!"
219,apple,negative,126377298650861568,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.
220,apple,negative,126375381249966080,"@rogerweir no but I have the option of a  replacement iPhone 4s ?
Not sure if I want one after having 2 duff iPhones.
@O2 @iphone4s @apple"
221,apple,negative,126372694118768640,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?
222,apple,negative,126372040696541184,"You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?"
223,apple,negative,126363154837020672,removing all @apple shit.
224,apple,negative,126361483432038400,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple
226,apple,negative,126358301393956866,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em
227,apple,negative,126358272084152320,Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise
228,apple,negative,126357580741226496,"@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :("
229,apple,negative,126357227727626240,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.
230,apple,negative,126354628999778305,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat
231,apple,negative,126351972948393984,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO
232,apple,negative,126348169826148352,Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.
233,apple,negative,126344426854416385,"@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv"
234,apple,negative,126343931117047808,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!
235,apple,negative,126343679785959424,"@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the ""newest"" model are suckers..."
236,apple,negative,126343214805426176,Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.
237,apple,negative,126334597431697408,@APPLE Wow @MOTOROLA Just crushed your dreams....
240,apple,negative,126331327271284736,"Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR"
242,apple,negative,126327808803880960,"@apple, 
No, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now"
244,apple,negative,126324573384871936,"@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?"
245,apple,negative,126324389741473792,@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T
246,apple,negative,126324077513293824,Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii
247,apple,negative,126321169468100609,@apple why is my iPhone battery so crappy #fail
248,apple,negative,126320033369563138,My @Apple @macbook keyboard will not type :(
251,apple,negative,126310645443461121,"Why doesn't @apple iCloud sync Stickies? They've always been around, just nothing every progressed w/ them!! Why apple why?  @gruber"
252,apple,negative,126309616391950336,"@apple, your new ""Save a Version"" function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world"
254,apple,negative,126307071984545793,I hate my @apple computer.  Thats 3500 dollars down the drain.
256,apple,negative,126302386644975616,@apple my iPhone is charging very slowly!!!!!
258,apple,negative,126297326565330944,"@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!"
261,apple,negative,126292335540699136,"@Apple iTunes is the worst program ever. For such a great phone, you make some awful software."
262,apple,negative,126286814578348032,One would think the voice recognition on the @apple tech support line would work a little better.
263,apple,negative,126283602571964416,"@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!"
265,apple,negative,126281019476291585,"@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do."
266,apple,negative,126280555980529664,@AsimRang @apple @umber the desktop app is wack though
267,apple,negative,126279811151831042,I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm
271,apple,negative,126257645282799616,Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #
272,apple,negative,126251052667375616,#DontBeMadAtMeBecause #Android is by far better than @Apple
273,apple,negative,126247557339947008,@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.
274,apple,negative,126243680129523712,@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt
275,apple,negative,126240605419487232,Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.
277,apple,negative,126238223537152001,Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!
278,apple,negative,126221894126022656,Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???
279,apple,negative,126189036644728832,fuck u @apple
280,apple,negative,126188946974720000,oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it
281,apple,negative,126188717902802944,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple
282,apple,negative,126188686453907457,. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed
284,apple,negative,126167083334643713,Like @apple da fuck is this shit?  http://t.co/nb4DHlSg
286,apple,negative,126163250172801024,Damn it @Apple!! Whatchu done to my phone??
287,apple,negative,126158846375903233,"Samsung seeks iPhone 4S ban in Japan and Australia
Patent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk"
289,apple,negative,126155291288023040,"@apple, why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail"
290,apple,negative,126153311521996800,@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??
291,apple,negative,126150581558591488,"@apple the reservation system not working, shows no products avail let alone iphone 4s I had the site open in 3 browsers at 9 PM and nothing"
294,apple,negative,126143926523539457,@albertmal88 remember @apple is evil. #icloud entering the #dropbox market
295,apple,negative,126141380409036800,I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple
296,apple,negative,126141077131497472,9% now on my second full charge of the day. Pissed @Apple
298,apple,negative,126132919117938689,RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!
299,apple,negative,126131535211536384,I'm wit chu!! “@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!”
301,apple,negative,126129582326816769,iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.
302,apple,negative,126128599030956032,"Deár iCloud I HATE U , AND I HOPE YOU DIE , YOU ARE THE WORST FUCKING INVENTION IN THE WORLD , FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs"
303,apple,negative,126127465155403777,i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple
306,apple,negative,126118222746497025,Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!
307,apple,negative,126106964420857857,@apple u guys are gay
308,apple,negative,126099775417364480,"Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE, Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo"
309,apple,negative,126096173198082048,none of my apps work after the new ios from @apple. what do i do?!?
310,apple,negative,126094194312876032,"Seemingly endless loop of calls to @apple, @ups, @verizonwireless to investigate my missing #iphone4s. #crankywithnophone"
311,apple,negative,126089287660863488,@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!
312,apple,negative,126088404084588546,@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed.
313,apple,negative,126085893353250816,"@chascouponmom @apple I get they are busy w/ the new phone, but I just wanted to buy a stylus. they made me wait forever outside & never"
314,apple,negative,126084068298334208,"@apple @iphone Please deliver my daughter's i4s, she is driving me nuts #iphone"
317,apple,negative,126079672386723840,"Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed."
318,apple,negative,126075115686465536,Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6
320,apple,negative,126073520504569858,"@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg"
324,apple,negative,126068917012668416,What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.
325,apple,negative,126063215842037760,Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh
327,apple,negative,126054048972537856,"Where is my iPhone!?!?!?!
@apple"
328,apple,negative,126053722966069248,@apple battery life suck on iOS 5
329,apple,negative,126050114518261760,An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.
330,apple,negative,126044756320075776,@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?
331,apple,negative,126044425964109824,"Hey @apple why can't I share a reminder list from my iPhone?
Also why can't I login to the iCloud webpage to modify sharing from my phone?"
334,apple,negative,126037831301869568,Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade
336,apple,negative,126034507475337216,Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f
338,apple,negative,126031969166434304,"GAH. @apple iOS 5 opens text messages painfully slow, on top of 3 restore attempts 2 succeed. Early adopterness gets better of me."
339,apple,negative,126030936084189184,Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread
340,apple,negative,126029733325582336,“@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.” &lt;&lt; check Settings: 8 times more App usage in iOS 5
341,apple,negative,126021108641181696,As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad
342,apple,negative,126018120983904256,I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN
343,apple,negative,126016585348558848,"“@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.” in NZ?"
344,apple,negative,126014999444467712,"I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks."
346,apple,negative,126012822936231936,Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall
349,apple,negative,126008913400303616,RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.
350,apple,negative,126006966312108032,"Updating to IOS5 with my regular iphone4 just made it slower and messed up.. @apple give me a free 4S and we can call it even, thanks"
351,apple,negative,126006116168642560,"@apple If you want to know what customers think dont send updates with the ""noreply"" return address. Who invented that anyway. #useless"
354,apple,negative,126003967552524288,"Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing ""Who Knew"" by Pink.  Still not Flawless @Apple"
355,apple,negative,126001775626031105,should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience
356,apple,negative,126001635162992640,Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL
357,apple,negative,125999655011098624,"RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ..."
358,apple,negative,125996379913986048,@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx
359,apple,negative,125995264325599233,"""Waiting for items to copy"" in Itunes after everything DID copy goes on, and on, and on.  Come on @Apple, what the hell?"
360,apple,negative,125994965183635456,@Apple unhappy again with service/product quality. Won't buy @Apple again.
361,apple,negative,125994596336533504,Lies @apple. the battery on this new iPhone4S is definitely not any better.
362,apple,negative,125989051101741056,"“@philipgrey: dear @apple, why you gotta go change the way &lt;input type=""number""&gt; is handled out of the blue?”"
364,apple,negative,125987979784224770,"Been on hold with @apple customer service for 25 minutes. Wow, lt's like they're #timewarnercable."
367,apple,negative,125980659415138304,"@Apple you're killing me. Excited about iOS5 no longer- tragic battery drain, genius bar wants to replace the battery. Really?"
368,apple,negative,125978454146551808,1st impressions  of #iOS5- Disappointed w upgrade restore. Lot of apps & folders missing @apple do  how much time went in2 orging it? #fail
369,apple,negative,125976113657823232,@PrJusto Don't question the @Apple they will remember your dissent!
370,apple,negative,125974886006005760,"@apple: Multiple times siri is ""having trouble connecting to the network.""  Siri needs servers (and some exercise!)"
372,apple,negative,125974351035117568,RT @JimMcNiel: if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is havin ...
373,apple,negative,125973390283653120,"dear @apple, why you gotta go change the way &lt;input type=""number""&gt; is handled out of the blue?"
374,apple,negative,125969932285513728,Ugh. WTF is up with all the bottlenecks @paypal @apple?
376,apple,negative,125966385259098112,+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!
377,apple,negative,125965988146585601,@apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!
378,apple,negative,125965853769478144,if @apple does not resolve the #Siri network issues they will need to rename a great product to Sorri - Who else is having issues?
